title,author,genres,publisher,publishDate,firstPublishDate
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)","['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']","Harcourt, Inc.",06/29/00,04/06/1943
Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)","['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']",HarperCollinsPublishers,10/01/2001,10/15/52
Of Mice and Men,John Steinbeck,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",Penguin Books,01/08/2002,10/28/37
The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']",Zola Books,09/23/13,07/05/2003
Dracula,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)","['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']",Norton,05/12/1986,05/26/97
Brave New World,Aldous Huxley,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy']",HarperPerennial / Perennial Classics,09/01/1998,10/28/32
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa (Translator)","['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Novels', 'Fantasy', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']",Harper,06/24/03,10/28/67
The Catcher in the Rye,J.D. Salinger,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",Back Bay Books,01/30/01,07/16/51
The Princess Bride,William Goldman,"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Science Fiction Fantasy', 'Comedy', 'Fairy Tales']",Ballantine Books,07/15/03,09/01/1973
The Lightning Thief,Rick Riordan (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']",Disney Hyperion Books,03/01/2006,06/28/05
The Secret Garden,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']",Children's Classics,09/01/1998,10/28/10
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'War', 'Adult Fiction', 'Adult', 'Drama', 'Literature']",Riverhead Books,06/01/2007,05/22/07
A Wrinkle in Time,Madeleine L'Engle,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",Square Fish,11/07/2017,10/28/62
A Game of Thrones,George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Dragons', 'Audiobook', 'Epic']",Bantam,08/28/05,08/06/1996
The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'Read For School', 'American']",Penguin Classics,12/31/02,12/01/1984
The Lovely Bones,Alice Sebold,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Adult', 'Adult Fiction', 'Drama', 'Novels']","Little, Brown and Company",09/01/2006,07/03/2002
The Outsiders,S.E. Hinton (Goodreads Author),"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",Puffin Books (US/CAN),09/01/1997,04/24/67
Where the Wild Things Are,Maurice Sendak,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']",Red Fox,10/28/00,04/19/63
Green Eggs and Ham,Dr. Seuss,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Kids', 'Food', 'Young Adult']",Random House Books for Young Readers,10/28/88,06/28/60
The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)","['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure', 'Read For School', 'Historical Fiction']",Penguin Classics,11/30/06,10/28/00
Life of Pi,Yann Martel,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Novels', 'Literature', 'Magical Realism', 'India', 'Philosophy']",Seal Books,08/29/06,09/11/2001
A Tale of Two Cities,"Charles Dickens, Richard Maxwell (Editor/Introduction)","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School', 'Classic Literature', '19th Century', 'British Literature']",Penguin Books,10/28/03,11/26/59
Water for Elephants,Sara Gruen (Goodreads Author),"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']",Algonquin Books,05/01/2007,05/28/06
Lolita,"Vladimir Nabokov, Craig Raine (Afterword)","['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature', 'Literary Fiction', '20th Century', 'Adult']",Penguin,10/28/95,09/28/55
Slaughterhouse-Five,Kurt Vonnegut Jr.,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel', 'American', 'Fantasy']",Dial Press,01/12/1999,10/28/69
